"","Autores","n","Apellido"
"191","Shenoy P",1,"Shenoy"
"192","Shields AM",2,"Shields"
"193","Shinjo SK",28,"Shinjo"
"194","Shukla A",1,"Shukla"
"195","Shumnalieva R",9,"Shumnalieva"
"196","Singh YP",1,"Singh"
"197","Srivastav N",1,"Srivastav"
"198","Stamataki Z",2,"Stamataki"
"199","Tan AL",30,"Tan"
"200","Tanner C",2,"Tanner"
"201","Tehozol EAZ",4,"Tehozol"
"202","Thakare DR",1,"Thakare"
"203","Thaventhiran JED",2,"Thaventhiran"
"204","Tomaras S",1,"Tomaras"
"205","Toro Gutierrez CE",1,"Toro"
"206","Toro Gutiérrez CE",4,"Toro"
"207","Torre IG",1,"Torre"
"208","Traboco L",2,"Traboco"
"209","Traboco LS",2,"Traboco"
"210","Tseng CW",1,"Tseng"
"211","Uribe CVC",1,"Uribe"
"212","Vaidya B",8,"Vaidya"
"213","Velikova T",30,"Velikova"
"214","Venerito V",1,"Venerito"
"215","Verma N",2,"Verma"
"216","Vincze MN",1,"Vincze"
"217","Wagg H",2,"Wagg"
"218","Wang G",2,"Wang"
"219","Wibowo SAK",3,"Wibowo"
"220","Wincup C",13,"Wincup"
"221","Workman S",2,"Workman"
"222","Yaadav P",2,"Yaadav"
"223","Yomono K",1,"Yomono"
"224","Yoshida A",5,"Yoshida"
"225","Zamora Tehozol EA",7,"Zamora"
"226","Zanframundo G",1,"Zanframundo"
"227","Ziade N",28,"Ziade"
"228","Üsküdar Cansu D",1,"Üsküdar"
